Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),13/93,6.118027960132275e-20,3.7258790277205546e-17,0,0,87.26689189189189,3860.727618442846,RPL11;RPL13A;RPS15A;RPL18A;RPS18;RPL37A;RPS20;RPL37;RPS27A;RPL39;RPS21;RPS13;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),13/158,7.792794722982673e-17,2.372905993148224e-14,0,0,47.98974836905872,1779.9756166744642,RPL11;RPL13A;RPS15A;RPL18A;RPS18;RPL37A;RPS20;RPL37;RPS27A;RPL39;RPS21;RPS13;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),13/183,5.40837310821725e-16,1.0978997409681016e-13,0,0,40.88076311605723,1437.0983561001246,RPL11;RPL13A;RPS15A;RPL18A;RPS18;RPL37A;RPS20;RPL37;RPS27A;RPL39;RPS21;RPS13;RPS23
GO_Biological_Process_2023,Translation (GO:0006412),13/234,1.332677144870358e-14,2.02900095306512e-12,0,0,31.365659777424483,1002.1015110250372,RPL11;RPL13A;RPS15A;RPL18A;RPS18;RPL37A;RPS20;RPL37;RPS27A;RPL39;RPS21;RPS13;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),13/296,2.7309078587228173e-13,3.326245771924391e-11,0,0,24.417056632604336,706.3603502358476,RPL11;RPL13A;RPS15A;RPL18A;RPS18;RPL37A;RPS20;RPL37;RPS27A;RPL39;RPS21;RPS13;RPS23
GO_Biological_Process_2023,B Cell Receptor Signaling Pathway (GO:0050853),4/46,5.219023612482669e-06,0.0005297308966669909,0,0,41.21739130434783,501.3353830213611,BLK;CD79B;CD79A;MS4A1
GO_Biological_Process_2023,Negative Regulation Of B Cell Activation (GO:0050869),3/20,1.626462332560456e-05,0.0014150222293275,0,0,74.84230287859825,825.2500115945311,TYROBP;BANK1;TNFAIP3
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),3/26,3.6705035971544355e-05,0.0027941708633338,0,0,55.30157261794635,564.7726520715403,FCER1G;HLA-DRA;CTSD
GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),3/28,4.6085838596253206e-05,0.0031184750783464,0,0,50.87234042553192,507.9605655722774,FCER1G;HLA-DRA;CTSD
GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response (GO:0016064),3/30,5.691425903052129e-05,0.0031922477059714,0,0,47.09929078014184,460.3468031322656,CD74;FCER1G;HLA-DRA
GO_Biological_Process_2023,Positive Regulation Of Vesicle Fusion (GO:0031340),2/5,6.0956786529959696e-05,0.0031922477059714,0,0,277.0416666666667,2688.78505476905,ANXA1;ANXA2
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),3/31,6.290143262997964e-05,0.0031922477059714,0,0,45.41489361702128,439.34102944809894,FCER1G;HLA-DRA;CTSD
GO_Biological_Process_2023,B Cell Activation (GO:0042113),4/92,8.212184135698631e-05,0.0038470924143388,0,0,19.626482213438734,184.6323345485555,CD79B;CD79A;BANK1;MS4A1
GO_Biological_Process_2023,Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process (GO:2001280),2/6,9.128927051395768e-05,0.0039710832673571,0,0,207.77083333333337,1932.5756890799971,CD74;ANXA1
GO_Biological_Process_2023,Regulation Of Vascular Wound Healing (GO:0061043),2/7,0.00012760097078443218,0.0051805994138479,0,0,166.20833333333334,1490.3240703269437,XBP1;TNFAIP3
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),6/320,0.0001406472188002354,0.0052859405176121,0,0,8.527504342790968,75.63261732734237,CD74;XBP1;FCER1G;ANXA1;TYROBP;LTB
GO_Biological_Process_2023,Positive Regulation Of T Cell Activation (GO:0050870),4/107,0.0001475549898184028,0.0052859405176121,0,0,16.755593077247784,147.80627472507544,XBP1;ANXA1;HLA-DRA;TNFRSF13C
GO_Biological_Process_2023,Regulation Of Interleukin-6 Production (GO:0032675),4/114,0.00018836016135612493,0.005735566913294,0,0,15.683794466403162,134.5223310441862,CD74;XBP1;TYROBP;TNFAIP3
GO_Biological_Process_2023,Regulation Of B Cell Proliferation (GO:0030888),3/44,0.0001811421903351466,0.005735566913294,0,0,30.994810586403737,267.0583626754283,CD74;TYROBP;TNFRSF13C
GO_Biological_Process_2023,Regulation Of Vesicle Fusion (GO:0031338),2/8,0.0001698630098259154,0.005735566913294,0,0,138.5,1202.2517804391236,ANXA1;ANXA2
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),4/118,0.00021503162992469283,0.0061069115105971,0,0,15.130434782608695,127.77236729588898,RPS15A;RPL11;RPS13;RPS23
GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),3/47,0.0002206109248491568,0.0061069115105971,0,0,28.87717601547389,243.12011931420915,RPL11;RPS20;RPL37
GO_Biological_Process_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),5/232,0.0002785726986310303,0.0073761205854911,0,0,9.653940283896231,79.02552843916146,CD74;LGALS1;TNFAIP3;S100A4;LTB
GO_Biological_Process_2023,Positive Regulation Of B Cell Activation (GO:0050871),3/52,0.0002980479544608097,0.007562966844443,0,0,25.924012158054712,210.4577714820763,CD74;XBP1;TNFRSF13C
GO_Biological_Process_2023,Neutrophil Activation Involved In Immune Response (GO:0002283),2/11,0.000332063883264561,0.0080890761963247,0,0,92.31944444444444,739.4956618223716,FCER1G;TYROBP
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),4/134,0.00034941442912259134,0.0081843610513714,0,0,13.25752508361204,105.5199812371843,BLK;CD79B;CD79A;MS4A1
GO_Biological_Process_2023,Positive Regulation By Symbiont Of Entry Into Host (GO:0075294),2/12,0.0003978405023918531,0.0083546505502289,0,0,83.08333333333333,650.4975835514635,CD74;LGALS1
GO_Biological_Process_2023,Positive Regulation Of Viral Entry Into Host Cell (GO:0046598),2/12,0.0003978405023918531,0.0083546505502289,0,0,83.08333333333333,650.4975835514635,CD74;LGALS1
GO_Biological_Process_2023,Adipose Tissue Development (GO:0060612),2/12,0.0003978405023918531,0.0083546505502289,0,0,83.08333333333333,650.4975835514635,XBP1;NAMPT
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),4/155,0.000605645352340058,0.0122946006525031,0,0,11.401670025914196,84.47743564487912,RPS15A;RPL11;RPS13;RPS23
GO_Biological_Process_2023,B Cell Mediated Immunity (GO:0019724),2/15,0.0006299020654549659,0.0123745276729701,0,0,63.90064102564103,470.9442866528224,CD74;FCER1G
GO_Biological_Process_2023,B Cell Differentiation (GO:0030183),3/68,0.0006571555344566322,0.0125064912651277,0,0,19.527004909983635,143.08588265054038,CD79B;CD79A;MS4A1
GO_Biological_Process_2023,Myeloid Cell Activation Involved In Immune Response (GO:0002275),2/17,0.0008132713373134499,0.01500855286133,0,0,55.375,393.96243373102385,FCER1G;TYROBP
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),3/74,0.000841115699760175,0.0150658665045278,0,0,17.87144141444411,126.5437687687522,CD74;ANXA1;TNFRSF13C
GO_Biological_Process_2023,Positive Regulation Of Interleukin-6 Production (GO:0032755),3/76,0.0009089746531003116,0.0154528760639274,0,0,17.38006412124745,121.71594945135638,CD74;XBP1;TYROBP
GO_Biological_Process_2023,Neutrophil Activation (GO:0042119),2/18,0.000913470506242016,0.0154528760639274,0,0,51.911458333333336,363.2898548418271,FCER1G;TYROBP
GO_Biological_Process_2023,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),4/175,0.0009530016359867176,0.0156858917923219,0,0,10.057971014492754,69.96217960468235,CD74;LGALS1;S100A4;LTB
GO_Biological_Process_2023,Proteolysis Involved In Protein Catabolic Process (GO:0051603),3/78,0.0009802139911592198,0.015709218963578,0,0,16.914893617021278,117.18197921679683,TNFAIP3;RPS27A;CTSB
GO_Biological_Process_2023,Positive Regulation Of Immune Response (GO:0050778),3/80,0.0010548985204026,0.0164726461262875,0,0,16.473887814313347,112.9171456129886,CD74;XBP1;HLA-DRA
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),3/84,0.0012148566191106,0.0184961920259593,0,0,15.657210401891254,105.10887662312086,RPS15A;RPS13;RPS23
GO_Biological_Process_2023,Positive Regulation Of Signal Transduction By P53 Class Mediator (GO:1901798),2/21,0.0012477930702112,0.018534292189235,0,0,43.708333333333336,292.25047477799524,RPS20;RPL37
GO_Biological_Process_2023,Positive Regulation Of Viral Life Cycle (GO:1903902),2/22,0.001370383663162,0.019870563115849,0,0,41.520833333333336,273.7329252658829,CD74;LGALS1
GO_Biological_Process_2023,Lymphocyte Differentiation (GO:0030098),3/91,0.0015300336428855,0.021669546244589,0,0,14.406673114119922,93.39076222450518,CD79B;CD79A;MS4A1
GO_Biological_Process_2023,Regulation Of B Cell Activation (GO:0050864),2/25,0.0017712212130127,0.0245153117891989,0,0,36.09963768115942,228.73040961874747,BANK1;TNFAIP3
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),6/525,0.0018972595107709,0.0256762453791002,0,0,5.105359957961114,31.99705116815704,CD74;LGALS1;S100A4;RPS20;RPL37;LTB
GO_Biological_Process_2023,T Cell Activation Involved In Immune Response (GO:0002286),2/27,0.0020657293545543,0.0273484603679042,0,0,33.208333333333336,205.3029465636782,CD74;FCER1G
GO_Biological_Process_2023,Positive Regulation Of Fibroblast Proliferation (GO:0048146),2/28,0.0022210873543451,0.0281800458082534,0,0,31.92948717948718,195.08145262248803,CD74;S100A6
GO_Biological_Process_2023,Apoptotic Cell Clearance (GO:0043277),2/28,0.0022210873543451,0.0281800458082534,0,0,31.92948717948718,195.08145262248803,ANXA1;TYROBP
GO_Biological_Process_2023,Positive Regulation Of B Cell Proliferation (GO:0030890),2/29,0.0023818121959682,0.0296025230070343,0,0,30.74537037037037,185.6987673947897,CD74;TNFRSF13C
GO_Biological_Process_2023,B Cell Proliferation (GO:0042100),2/31,0.0027192556482504,0.0331205337956903,0,0,28.62212643678161,169.08226656127547,CD79A;MS4A1
GO_Biological_Process_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),3/117,0.0031304799763545,0.0373816138352931,0,0,11.106382978723405,64.04572311094852,XBP1;TNFAIP3;VIM
GO_Biological_Process_2023,Positive Regulation Of Organelle Organization (GO:0010638),2/34,0.0032650074009337,0.0375167831541256,0,0,25.934895833333332,148.46413612460563,ANXA1;ANXA2
GO_Biological_Process_2023,Cellular Response To Hydrogen Peroxide (GO:0070301),2/34,0.0032650074009337,0.0375167831541256,0,0,25.934895833333332,148.46413612460563,ANXA1;TNFAIP3
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),3/122,0.0035220951104472,0.0397214059678213,0,0,10.637046307884855,60.085475656896094,XBP1;NAMPT;VIM
GO_Biological_Process_2023,Cellular Response To Lipopolysaccharide (GO:0071222),3/124,0.0036867515545537,0.0408223944858769,0,0,10.460172322841569,58.60844537950275,XBP1;TNFAIP3;VIM
GO_Biological_Process_2023,Response To Cytokine (GO:0034097),3/125,0.0037708170170264,0.0410076350601622,0,0,10.3739100104639,57.89122705378868,CD74;ANXA1;AFF3
GO_Biological_Process_2023,Positive Regulation Of Immune Effector Process (GO:0002699),2/37,0.0038576315924392,0.0412157480665874,0,0,23.708333333333332,131.76384828572083,XBP1;HLA-DRA
GO_Biological_Process_2023,Lymphocyte Proliferation (GO:0046651),2/38,0.0040654672914765,0.0419638911950709,0,0,23.04861111111111,126.88782669928548,CD79A;MS4A1
GO_Biological_Process_2023,Connective Tissue Development (GO:0061448),2/38,0.0040654672914765,0.0419638911950709,0,0,23.04861111111111,126.88782669928548,XBP1;NAMPT
GO_Biological_Process_2023,Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001959),2/40,0.0044964248068071,0.0448905361859927,0,0,21.833333333333332,117.99765363023796,CD74;TNFAIP3
GO_Biological_Process_2023,Positive Regulation Of Wound Healing (GO:0090303),2/40,0.0044964248068071,0.0448905361859927,0,0,21.833333333333332,117.99765363023796,XBP1;ANXA1
GO_Biological_Process_2023,Keratinocyte Differentiation (GO:0030216),2/42,0.0049475924537835,0.0485981258766804,0,0,20.739583333333332,110.1034239545967,ANXA1;TXNIP
GO_Biological_Process_2023,Regulation Of Viral Entry Into Host Cell (GO:0046596),2/44,0.0054187658916089,0.0523814036188869,0,0,19.75,103.05327189846057,CD74;LGALS1
GO_Biological_Process_2023,Regulation Of Fibroblast Proliferation (GO:0048145),2/46,0.0059097422436154,0.0545308034297242,0,0,18.85037878787879,96.72417883948356,CD74;S100A6
GO_Biological_Process_2023,T Cell Differentiation (GO:0030217),2/46,0.0059097422436154,0.0545308034297242,0,0,18.85037878787879,96.72417883948356,ANXA1;FCER1G
GO_Biological_Process_2023,Response To Hydrogen Peroxide (GO:0042542),2/46,0.0059097422436154,0.0545308034297242,0,0,18.85037878787879,96.72417883948356,ANXA1;TNFAIP3
GO_Biological_Process_2023,Regulation Of Wound Healing (GO:0061041),2/47,0.0061625935135597,0.0551914624964391,0,0,18.430555555555557,93.79784429037068,ANXA1;TNFAIP3
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Activation (GO:0051251),2/47,0.0061625935135597,0.0551914624964391,0,0,18.430555555555557,93.79784429037068,TYROBP;HLA-DRA
GO_Biological_Process_2023,Positive Regulation Of Transport (GO:0051050),2/50,0.0069502994651568,0.0606927413327319,0,0,17.276041666666668,85.84414194819459,ANXA1;ANXA2
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),5/483,0.0069761771646818,0.0606927413327319,0,0,4.526266852626685,22.474065483961176,CD74;XBP1;RPS15A;NAMPT;S100A6
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912),2/51,0.0072225026271421,0.0619507619708387,0,0,16.922619047619047,83.43788300609687,TYROBP;HLA-DRA
GO_Biological_Process_2023,Response To Lipopolysaccharide (GO:0032496),3/159,0.0073518981608103,0.0621848052768543,0,0,8.099018003273322,39.78882929168961,XBP1;TNFAIP3;VIM
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),6/705,0.0079818762769187,0.0655094810842168,0,0,3.755559890753024,18.141539154691703,CD74;XBP1;LGALS1;ANXA1;CTSD;CTSB
GO_Biological_Process_2023,Epidermal Cell Differentiation (GO:0009913),2/54,0.0080676700842631,0.0655094810842168,0,0,15.943910256410255,76.8479024006269,ANXA1;TXNIP
GO_Biological_Process_2023,Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321),2/54,0.0080676700842631,0.0655094810842168,0,0,15.943910256410255,76.8479024006269,RPL11;TNFAIP3
GO_Biological_Process_2023,Response To Peptide Hormone (GO:0043434),2/55,0.0083588302127531,0.0669806263100877,0,0,15.642295597484276,74.83957451132376,XBP1;ANXA1
GO_Biological_Process_2023,Cellular Response To Peptide (GO:1901653),2/56,0.0086546685435214,0.0684505602987603,0,0,15.351851851851851,72.91602120992282,XBP1;VIM
GO_Biological_Process_2023,Positive Regulation Of Protein Binding (GO:0032092),2/59,0.0095700107879558,0.0747196996136549,0,0,14.541666666666666,67.6059670933825,BLK;RPL11
GO_Biological_Process_2023,Negative Regulation Of Cytokine Production (GO:0001818),3/178,0.009999859714763,0.0770875261555787,0,0,7.212765957446808,33.21611593091175,ANXA1;TYROBP;TNFAIP3
GO_Biological_Process_2023,Positive Regulation Of T Cell Differentiation (GO:0045582),2/64,0.0111869000374274,0.0851602765349166,0,0,13.365591397849462,60.051760195429935,XBP1;HLA-DRA
GO_Biological_Process_2023,Positive Regulation Of Fibroblast Apoptotic Process (GO:2000271),1/6,0.0149082847993736,0.0856523154982881,0,0,81.40816326530613,342.3895623444841,BTG1
GO_Biological_Process_2023,Regulation Of T-helper Cell Differentiation (GO:0045622),1/6,0.0149082847993736,0.0856523154982881,0,0,81.40816326530613,342.3895623444841,HLA-DRA
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta1 Production (GO:0032908),1/6,0.0149082847993736,0.0856523154982881,0,0,81.40816326530613,342.3895623444841,TYROBP
GO_Biological_Process_2023,Regulation Of Prostaglandin Biosynthetic Process (GO:0031392),1/6,0.0149082847993736,0.0856523154982881,0,0,81.40816326530613,342.3895623444841,CD74
GO_Biological_Process_2023,Regulation Of Osteoclast Development (GO:2001204),1/6,0.0149082847993736,0.0856523154982881,0,0,81.40816326530613,342.3895623444841,TYROBP
GO_Biological_Process_2023,Intracellular Triglyceride Homeostasis (GO:0035356),1/6,0.0149082847993736,0.0856523154982881,0,0,81.40816326530613,342.3895623444841,XBP1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class I (GO:0042590),1/6,0.0149082847993736,0.0856523154982881,0,0,81.40816326530613,342.3895623444841,FCER1G
GO_Biological_Process_2023,Interleukin-3-Mediated Signaling Pathway (GO:0038156),1/6,0.0149082847993736,0.0856523154982881,0,0,81.40816326530613,342.3895623444841,FCER1G
GO_Biological_Process_2023,IRE1-mediated Unfolded Protein Response (GO:0036498),1/6,0.0149082847993736,0.0856523154982881,0,0,81.40816326530613,342.3895623444841,XBP1
GO_Biological_Process_2023,ATF6-mediated Unfolded Protein Response (GO:0036500),1/6,0.0149082847993736,0.0856523154982881,0,0,81.40816326530613,342.3895623444841,XBP1
GO_Biological_Process_2023,Gland Development (GO:0048732),2/74,0.0147525184670075,0.0856523154982881,0,0,11.50347222222222,48.50256694786101,XBP1;ANXA1
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),3/204,0.0144197704909057,0.0856523154982881,0,0,6.271514766592569,26.58592357722333,FCER1G;LYZ;RPL39
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),3/205,0.0146085682573081,0.0856523154982881,0,0,6.240151674741942,26.371798625884296,XBP1;BTG1;TNFAIP3
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),2/73,0.0143765335552059,0.0856523154982881,0,0,11.666079812206572,49.48935398933624,FCER1G;ANXA1
GO_Biological_Process_2023,Positive Regulation Of T Cell Proliferation (GO:0042102),2/65,0.0115237618661231,0.0856523154982881,0,0,13.15277777777778,58.70537343689256,ANXA1;TNFRSF13C
GO_Biological_Process_2023,Regulation Of Hepatocyte Proliferation (GO:2000345),1/5,0.0124387771927725,0.0856523154982881,0,0,101.76530612244898,446.4379351400606,XBP1
GO_Biological_Process_2023,Negative Regulation Of Toll-Like Receptor 2 Signaling Pathway (GO:0034136),1/5,0.0124387771927725,0.0856523154982881,0,0,101.76530612244898,446.4379351400606,TNFAIP3
GO_Biological_Process_2023,Cellular Response To Reactive Oxygen Species (GO:0034614),2/73,0.0143765335552059,0.0856523154982881,0,0,11.666079812206572,49.48935398933624,ANXA1;TNFAIP3
GO_Biological_Process_2023,Regulation Of Plasma Membrane Repair (GO:1905684),1/5,0.0124387771927725,0.0856523154982881,0,0,101.76530612244898,446.4379351400606,ANXA2
GO_Biological_Process_2023,"Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway (GO:0035872)",1/5,0.0124387771927725,0.0856523154982881,0,0,101.76530612244898,446.4379351400606,TNFAIP3
GO_Biological_Process_2023,Lipoprotein Metabolic Process (GO:0042157),1/5,0.0124387771927725,0.0856523154982881,0,0,101.76530612244898,446.4379351400606,CTSD
GO_Biological_Process_2023,Regulation Of Type 2 Immune Response (GO:0002828),1/5,0.0124387771927725,0.0856523154982881,0,0,101.76530612244898,446.4379351400606,CD74
GO_Biological_Process_2023,Skin Development (GO:0043588),2/68,0.0125608922452035,0.0856523154982881,0,0,12.553030303030305,54.94671101969335,ANXA1;TXNIP
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),4/364,0.012871288261686,0.0856523154982881,0,0,4.731884057971015,20.59673750232504,CD74;TYROBP;ANXA2;RPL11
GO_Biological_Process_2023,Phagocytosis (GO:0006909),2/69,0.0129153730394233,0.0856523154982881,0,0,12.36504975124378,53.77976800231812,ANXA1;TYROBP
GO_Biological_Process_2023,"Positive Regulation Of CD4-positive, CD25-positive, Alpha-Beta Regulatory T Cell Differentiation (GO:0032831)",1/5,0.0124387771927725,0.0856523154982881,0,0,101.76530612244898,446.4379351400606,HLA-DRA
GO_Biological_Process_2023,Protein Deubiquitination Involved In Ubiquitin-Dependent Protein Catabolic Process (GO:0071947),1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,TNFAIP3
GO_Biological_Process_2023,Regulation Of Interleukin-8 Production (GO:0032677),2/81,0.0175016586979588,0.0888209178921413,0,0,10.48048523206751,42.398379802278754,CD74;ANXA1
GO_Biological_Process_2023,"Endonucleolytic Cleavage In ITS1 To Separate SSU-rRNA From 5.8S rRNA And LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,RPS21
GO_Biological_Process_2023,Myoblast Migration (GO:0051451),1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,ANXA1
GO_Biological_Process_2023,"Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)",1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,HLA-DRA
GO_Biological_Process_2023,Regulation Of Phospholipase A2 Activity (GO:0032429),1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,ANXA1
GO_Biological_Process_2023,"Positive Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043372)",1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,HLA-DRA
GO_Biological_Process_2023,Positive Regulation Of Myeloid Cell Apoptotic Process (GO:0033034),1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,ANXA1
GO_Biological_Process_2023,Regulation Of T Cell Proliferation (GO:0042129),2/77,0.0159057771109684,0.0888209178921413,0,0,11.041666666666666,45.72434655376785,ANXA1;TNFRSF13C
GO_Biological_Process_2023,Response To Type II Interferon (GO:0034341),2/80,0.0170965192165363,0.0888209178921413,0,0,10.615384615384617,43.19273030214829,CD74;RPL13A
GO_Biological_Process_2023,Store-Operated Calcium Entry (GO:0002115),1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,MS4A1
GO_Biological_Process_2023,Negative Regulation Of Phospholipase Activity (GO:0010519),1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,ANXA1
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Proliferation (GO:0070664),1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,TNFAIP3
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Differentiation (GO:1902107),1/7,0.0173717414502839,0.0888209178921413,0,0,67.83673469387755,274.9362107684438,LGALS1
GO_Biological_Process_2023,Skeletal Muscle Tissue Regeneration (GO:0043403),1/9,0.0222805591236868,0.0910661778948004,0,0,50.87244897959184,193.52086993316271,ANXA1
GO_Biological_Process_2023,Negative Regulation Of Bone Resorption (GO:0045779),1/9,0.0222805591236868,0.0910661778948004,0,0,50.87244897959184,193.52086993316271,TNFAIP3
GO_Biological_Process_2023,Response To Interleukin-4 (GO:0070670),1/9,0.0222805591236868,0.0910661778948004,0,0,50.87244897959184,193.52086993316271,XBP1
GO_Biological_Process_2023,rRNA 3'-End Processing (GO:0031125),1/9,0.0222805591236868,0.0910661778948004,0,0,50.87244897959184,193.52086993316271,RPS21
